Voc (V),-HOMO (eV),-LUMO (eV),bandgap(eV),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),X,Y,Z,Tot,E(t-s)(eV),S1,S2,S3,S4,S5,DH,DL,DT1,DS1,DST,Eb,t_DL,t_DH
0.62,5.32,3.5,1.68,-4.71736,-2.63297,2.08439,-0.3213,0.0391,-0.23,0.3971,1.39242,1.7862,2.0293,2.2247,2.3826,2.5351,1.2626400000000002,0.6070300000000004,-0.5095799999999999,-0.27380000000000004,0.39378,0.29818999999999996,0.5449670199517115,0.282906167478076
0.68,5.26,3.61,1.38,-4.71845,-2.83407,1.88439,2.2702,0.2753,0.1799,2.2939,1.22625,1.6586,1.9216,2.1676,2.4449,2.7692,1.2615500000000006,0.4059300000000001,-0.6757499999999999,-0.4014,0.43235,0.22578999999999994,0.6663568107691039,0.2832147033221144
0.9,5.52,3.24,1.88,-5.02676,-2.55188,2.47488,-1.0201,1.0231,-2.0808,2.5331,1.75176,2.0678,2.3057,2.4303,2.7085,2.8319,0.9532400000000001,0.6881200000000001,-0.15023999999999993,0.007800000000000029,0.3160400000000001,0.4070800000000001,0.5025199190168582,0.38549001027424673
0.57,5.3,3.65,1.77,-4.42675,-2.13038,2.29637,0.0932,0.0649,0.2528,0.2772,1.49601,2.0807,2.4715,2.7908,2.9527,3.0373,1.5532500000000002,1.10962,-0.40598999999999985,0.020700000000000163,0.5846900000000002,0.2156699999999998,0.3296842172775688,0.21155928763305806
0.91,5.58,3.55,2.17,-4.78512,-1.83051,2.95461,-1.0842,-0.107,0.645,1.266,2.03822,2.636,3.052,3.2286,3.5606,3.7187,1.1948800000000004,1.4094900000000001,0.13622,0.5760000000000001,0.5977800000000002,0.31861000000000006,0.24426782798407762,0.3027402808362003
0.92,5.73,3.76,1.84,-5.64391,-2.904,2.73991,2.2411,-0.5338,1.7038,2.8654,1.95978,2.4039,2.5282,2.6224,2.67,2.8116,0.33609000000000044,0.3360000000000003,0.057780000000000165,0.3439000000000001,0.44412000000000007,0.3360099999999999,0.7146231058160571,0.7145587926306703
0.8,5.49,3.46,1.73,-5.17506,-2.94917,2.22589,2.8162,0.4591,-1.1626,3.0812,1.57783,1.8895,2.0875,2.1677,2.4682,2.4837,0.8049400000000002,0.29083000000000014,-0.32416999999999985,-0.1705000000000001,0.3116699999999999,0.3363900000000002,0.7476427664855676,0.4471147526397243
0.89,5.7,3.3,1.7,-4.63627,-2.36113,2.27514,-5.96,-0.9487,0.1374,6.0366,1.53692,1.9413,2.272,2.3837,2.5336,2.8574,1.3437300000000008,0.87887,-0.36507999999999985,-0.11870000000000003,0.40437999999999996,0.3338399999999999,0.41525188128970786,0.26087080349018077
0.79,5.57,3.92,1.65,-4.58485,-2.21201,2.37283,1.3477,-2.7572,-0.4439,3.1009,1.62497,2.028,2.3504,2.5414,2.6084,2.8489,1.3951500000000001,1.0279900000000004,-0.2770299999999999,-0.03200000000000003,0.40303,0.34482999999999997,0.35772526621523004,0.2477958641997559
0.93,6.18,3.7,1.8,-4.86376,-2.46426,2.3995,-0.4041,-5.2933,-1.4936,5.5148,1.65986,2.0651,2.4056,2.5747,2.6397,2.9042,1.1162400000000003,0.7757400000000003,-0.24214000000000002,0.0051000000000001044,0.40524000000000027,0.33440000000000003,0.46036298631061273,0.32750891595084985
0.53,4.94,3.56,1.37,-4.47736,-2.57855,1.89881,-5.1659,-0.7285,0.0043,5.217,1.21198,1.6496,1.9867,2.2105,2.5897,2.8146,1.5026400000000004,0.6614500000000003,-0.6900199999999999,-0.4104000000000001,0.4376199999999999,0.24921000000000015,0.5161024431341323,0.22254187340581505
0.71,5.6,3.6,2.0,-5.01914,-1.13934,3.8798,0.0002,1.9387,1.736,2.6024,2.99644,3.4754,3.6437,3.7138,3.7159,3.9787,0.9608600000000003,2.1006600000000004,1.0944400000000003,1.4154,0.47895999999999983,0.40439999999999987,0.12237563367547831,0.3825637396463811
0.66,5.2,3.74,1.46,-4.59709,-2.68114,1.91595,-5.5898,-0.8173,0.0013,5.6492,1.26593,1.661,1.9678,2.1965,2.5315,2.7977,1.3829100000000007,0.5588600000000001,-0.6360699999999999,-0.399,0.39507000000000003,0.25495,0.5718606134943376,0.25084752363403595
0.6,5.13,3.76,1.37,-4.49151,-2.62018,1.87133,-2.4793,-0.5814,0.0002,2.5466,1.20598,1.6285,1.8935,2.1612,2.4381,2.7809,1.4884900000000005,0.6198200000000003,-0.6960199999999999,-0.4315,0.42252,0.24282999999999988,0.5380412763086642,0.22571322531477245
0.76,5.46,3.56,2.11,-4.72471,-1.76384,2.96087,-2.862,0.1466,0.7502,2.9624,2.03574,2.6468,3.0313,3.1054,3.197,3.2313,1.2552900000000005,1.4761600000000001,0.1337400000000002,0.5867999999999998,0.6110599999999997,0.31407000000000007,0.22851349758467815,0.28499318821474906
0.771,5.17,3.18,1.99,-4.81043,-1.75513,3.05529,0.282,0.3096,-0.8417,0.9401,2.1202,2.7003,3.1165,3.3172,3.6432,3.7331,1.1695700000000002,1.4848700000000001,0.21820000000000017,0.6402999999999999,0.5800999999999998,0.3549899999999999,0.2265317878947844,0.310500427747766
0.84,5.4,3.45,1.95,-4.92526,-1.91242,3.01284,-0.5739,0.461,-1.0971,1.3212,2.08809,2.668,3.071,3.313,3.6271,3.6867,1.0547400000000007,1.3275800000000002,0.18608999999999987,0.6080000000000001,0.5799100000000004,0.34484000000000004,0.265118071339581,0.348282969107221
0.77,5.26,3.29,1.97,-4.75274,-2.39297,2.35977,-0.8466,-0.0926,-0.2425,0.8855,1.63754,2.0722,2.401,2.4896,2.7193,2.7485,1.2272600000000002,0.8470300000000002,-0.2644599999999999,0.012199999999999989,0.43466000000000005,0.2875700000000001,0.42868624125642874,0.29309455755438635
0.9,5.51,2.54,2.14,-5.46731,-2.99679,2.47052,-3.2352,1.7822,-3.1569,4.8589,1.6723,2.2359,2.2673,2.5683,2.5729,2.918,0.5126900000000001,0.24321000000000037,-0.22970000000000002,0.17589999999999995,0.5636000000000001,0.23462000000000005,0.7841068340456405,0.5988824163814805
0.69,5.29,3.61,1.54,-4.63872,-2.74617,1.89255,0.5762,0.1562,-0.4698,0.7596,1.09136,1.6255,1.8725,2.0804,2.2472,2.3903,1.3412800000000002,0.49383,-0.8106399999999998,-0.4345000000000001,0.5341399999999998,0.26705,0.6102845226414172,0.2615107205370224
0.82,5.7,4.15,1.57,-5.20907,-3.19217,2.01691,2.1261,-1.1331,1.3113,2.7429,1.39251,1.7423,1.8925,2.0773,2.1066,2.154,0.7709300000000008,0.04783000000000026,-0.50949,-0.3177000000000001,0.34979000000000005,0.27461000000000024,0.9532958335948712,0.46258266632564277
0.79,5.38,3.91,1.79,-4.96989,-2.61855,2.35134,1.775,0.0042,-0.1346,1.7801,1.48455,2.0218,2.1771,2.2545,2.2881,2.6757,1.01011,0.6214500000000003,-0.4174499999999999,-0.038200000000000234,0.5372499999999998,0.32954000000000017,0.5371649834010193,0.3641789176872145
1.02,5.56,3.47,1.85,-4.89424,-2.63842,2.25582,0.7352,0.6731,-0.1606,1.0096,1.49429,1.9339,2.0896,2.2661,2.3288,2.6588,1.0857600000000005,0.6015800000000002,-0.40771,-0.1261000000000001,0.43961000000000006,0.32192,0.5479451983750436,0.33764507809875155
0.9,5.39,3.57,1.82,-4.90131,-2.6376,2.26371,0.9212,-0.7311,-0.1494,1.1856,1.4955,1.9413,2.0954,2.2701,2.3315,2.6705,1.0786900000000008,0.6024000000000003,-0.40649999999999986,-0.11870000000000003,0.4458,0.3224100000000001,0.5474960674812089,0.3400406873007565
1.05,5.41,3.62,1.79,-5.35792,-2.90128,2.45664,-6.3423,-1.558,-0.299,6.5377,1.72814,2.1481,2.311,2.5734,2.6425,2.6995,0.6220800000000004,0.33872000000000035,-0.1738599999999999,0.08809999999999985,0.4199599999999999,0.30854000000000026,0.7126819721068555,0.536826676039485
0.56,5.07,3.04,2.03,-4.81995,-2.27868,2.54127,0.9788,-0.164,0.0813,0.9957,1.74799,2.3039,2.6248,2.79,2.8929,3.0477,1.16005,0.9613200000000002,-0.15400999999999998,0.2439,0.5559100000000001,0.23736999999999986,0.3823878007951819,0.31347050696541234
0.887,5.34,3.45,1.68,-5.18731,-2.91352,2.27378,-1.2956,-0.4502,-0.1251,1.3773,1.50614,1.9903,2.217,2.3582,2.5419,2.6431,0.7926900000000003,0.3264800000000001,-0.3958599999999999,-0.0697000000000001,0.4841599999999999,0.28347999999999995,0.7214588040804034,0.4526255933448409
0.85,5.55,3.93,1.67,-5.02404,-2.94835,2.07568,-2.2525,0.4596,-1.1681,2.5787,1.36323,1.8272,1.958,2.138,2.2259,2.2596,0.9559600000000001,0.2916500000000002,-0.53877,-0.23280000000000012,0.46397,0.24848000000000026,0.7470299507058572,0.3844429021589146
0.71,5.53,3.8,1.75,-4.92635,-2.8776,2.04874,-0.2483,0.2428,1.7586,1.7925,1.37012,1.75,1.8888,2.0741,2.1328,2.3217,1.0536500000000002,0.36240000000000006,-0.5318799999999999,-0.31000000000000005,0.37988,0.29874,0.6960039105897974,0.34866280451623904
1.03,5.6,3.55,2.05,-5.402,-3.08604,2.31596,-12.4862,-5.2264,-0.6196,13.55,1.60457,2.0441,2.2296,2.3552,2.4162,2.4953,0.5780000000000003,0.1539600000000001,-0.29742999999999986,-0.015900000000000247,0.43952999999999975,0.2718600000000002,0.8573063125781246,0.5610192838421704
0.83,5.12,2.9,2.22,-4.72743,-2.02044,2.70699,0.009,-0.2144,2.5128,2.5219,1.78863,2.4274,2.7527,2.9385,3.1458,3.1726,1.2525700000000004,1.2195600000000004,-0.11336999999999997,0.36739999999999995,0.6387700000000001,0.2795899999999998,0.29536009677993275,0.2857694248899958
0.75,5.28,3.55,1.73,-4.74458,-2.68195,2.06262,-2.3815,-0.3442,0.1394,2.4103,1.30912,1.7477,1.8915,2.079,2.1351,2.4293,1.2354200000000004,0.5580500000000002,-0.5928799999999999,-0.3123,0.43857999999999997,0.31491999999999987,0.5723240082408042,0.2907126374156922
0.88,5.5,3.6,1.88,-4.86077,-2.59841,2.26235,2.064,0.7251,-0.076,2.1889,1.50246,1.939,2.0895,2.2753,2.3332,2.5882,1.1192300000000008,0.6415900000000003,-0.39954,-0.121,0.43654000000000015,0.32335,0.5264546952596912,0.3265311268153751
0.95,5.46,3.42,2.02,-4.9854,-2.68141,2.30399,1.5825,1.4214,2.0373,2.9453,1.48547,2.0141,2.1835,2.3427,2.4209,2.5701,0.9946000000000002,0.5585900000000001,-0.41652999999999984,-0.04590000000000005,0.5286299999999999,0.2898900000000002,0.5720150367061765,0.3698713635036962
0.66,5.73,3.88,1.91,-4.96853,-2.81502,2.15351,-4.0484,0.47,-2.882,4.9916,1.61025,1.8187,1.9617,2.1762,2.2351,2.3379,1.01147,0.42498000000000014,-0.29174999999999995,-0.24130000000000007,0.20845000000000002,0.33480999999999983,0.6537828606563045,0.36368397099919547
0.93,5.33,3.47,1.63,-4.87546,-2.7078,2.16766,-4.3172,-2.9394,-0.3435,5.2342,1.50481,1.9175,2.1095,2.3188,2.3349,2.5657,1.10454,0.5322,-0.39718999999999993,-0.14250000000000007,0.41269,0.25016000000000016,0.5873114621250861,0.3313632742952973
0.75,5.05,2.99,2.06,-4.90131,-2.06262,2.83869,0.3543,-0.3656,0.0023,0.5091,1.93814,2.5632,2.895,3.1747,3.2403,3.4916,1.0786900000000008,1.1773800000000003,0.03614000000000006,0.5032000000000001,0.6250600000000002,0.27549,0.30808486446001043,0.3400406873007565
0.88,5.19,3.3,1.83,-5.09451,-2.69801,2.39651,1.2324,-0.7894,-0.3658,1.5085,1.73323,2.0726,2.2059,2.2542,2.3689,2.435,0.8854900000000008,0.5419900000000002,-0.16876999999999986,0.012599999999999945,0.33936999999999995,0.32391000000000014,0.5815897364574222,0.41251199287238755
0.89,5.36,3.34,2.02,-5.09451,-2.49773,2.59678,-3.9005,0.9804,-1.9428,4.4665,1.70788,2.3189,2.6087,2.7683,2.9507,3.0172,0.8854900000000008,0.7422700000000004,-0.19411999999999985,0.25890000000000013,0.6110200000000001,0.2778799999999997,0.4760320952633365,0.41251199287238755
0.8,5.54,3.8,1.7,-5.40418,-2.87379,2.53039,0.1494,2.0382,1.3143,2.4298,1.82713,2.2196,2.2974,2.4256,2.4833,2.5376,0.5758200000000002,0.36621000000000015,-0.07486999999999999,0.15959999999999974,0.3924699999999999,0.31079000000000034,0.693357180912168,0.5622436399442118
0.85,5.6,3.91,1.69,-4.89424,-2.4844,2.40984,-3.4287,-7.6289,-0.0003,8.364,1.60337,2.1443,2.5558,2.7801,3.0049,3.0767,1.0857600000000005,0.7556000000000003,-0.29862999999999995,0.08429999999999982,0.5409299999999999,0.2655400000000001,0.46972869294669234,0.33764507809875155
0.88,5.57,3.88,1.69,-4.90784,-2.50154,2.4063,-3.3084,-7.3642,-0.001,8.0732,1.59696,2.1385,2.5459,2.7694,3.0046,3.065,1.0721600000000002,0.7384600000000003,-0.30504,0.07850000000000001,0.5415400000000001,0.2677999999999998,0.4778492370031538,0.34226841861554
0.62,5.25,2.75,2.18,-4.86839,-2.02344,2.84495,0.5062,-0.085,0.7484,0.9075,1.95959,2.5565,2.8898,3.2041,3.2528,3.4709,1.1116100000000007,1.2165600000000003,0.05759000000000003,0.49650000000000016,0.5969100000000003,0.28844999999999965,0.29624750752082596,0.32902879804361784
0.8,5.33,3.23,2.1,-5.1005,-2.10997,2.99053,0.4374,5.0947,2.416,5.6555,2.17928,2.5938,2.9499,3.0038,3.2403,3.3627,0.8795000000000002,1.13003,0.27727999999999997,0.5337999999999998,0.41452,0.39673000000000025,0.32302356556992373,0.4149903549939284
0.9,5.52,3.67,1.89,-4.89832,-2.55923,2.33909,-4.5807,1.1828,-1.825,5.0707,1.68207,1.9945,2.1521,2.3445,2.4241,2.6125,1.0816800000000004,0.6807700000000003,-0.21992999999999996,-0.06550000000000011,0.31243,0.3445900000000002,0.5062270474295348,0.33902548413080114
0.81,5.55,3.26,2.29,-5.14132,-2.06752,3.0738,3.927,0.1051,-0.3451,3.9436,2.22724,2.6815,3.0983,3.1973,3.4527,3.5221,0.8386800000000001,1.1724800000000002,0.3252400000000002,0.6215000000000002,0.4542600000000001,0.39229999999999965,0.3095981849030492,0.4322807575917554
0.85,5.55,3.82,1.68,-4.89941,-2.59379,2.30562,-0.4101,-0.3141,0.0001,0.5165,1.51381,2.0554,2.5044,2.727,2.9546,3.0685,1.0805900000000008,0.6462100000000004,-0.3881899999999998,-0.0045999999999999375,0.54159,0.25021999999999966,0.5240280843549925,0.339395223379787
0.885,5.52,3.79,1.73,-4.89723,-2.49474,2.40249,3.4847,-7.348,0.0014,8.1324,1.59635,2.1354,2.5474,2.7684,3.0001,3.0677,1.08277,0.74526,-0.30565,0.07540000000000013,0.5390500000000003,0.2670899999999996,0.47461088506655674,0.3386561476780328
0.94,5.41,3.44,1.97,-4.79709,-2.42372,2.37338,-4.864,-1.1602,0.0047,5.0005,1.69511,2.0569,2.2067,2.4395,2.5075,2.7248,1.1829100000000006,0.8162800000000003,-0.20689000000000002,-0.0030999999999998806,0.3617900000000003,0.3164799999999999,0.4420731114778012,0.30638585724426
0.8,5.43,3.25,1.67,-4.85641,-2.52522,2.3312,3.9303,-7.4847,0.0002,8.4539,1.53511,2.0978,2.5127,2.7632,2.9648,3.0586,1.12359,0.7147800000000002,-0.36688999999999994,0.037799999999999834,0.5626899999999999,0.23340000000000005,0.48929974590024394,0.3251105502098424
0.89,5.65,3.92,1.73,-4.90784,-2.50154,2.4063,-3.3083,-7.3641,-0.0012,8.0731,1.597,2.1385,2.546,2.7694,3.0046,3.065,1.0721600000000002,0.7384600000000003,-0.30499999999999994,0.07850000000000001,0.5415000000000001,0.2677999999999998,0.4778492370031538,0.34226841861554
